Date,Gemini_Ratio,Claude_Ratio
2025-03-08,1.42841,0.70698
2025-03-09,1.57919,0.76152
2025-03-10,2.02231,1.1886
2025-03-11,2.03875,1.21146
2025-03-12,2.00947,1.25236
2025-03-13,1.97579,1.21507
2025-03-14,1.83945,0.99892
2025-03-15,1.47412,0.70698
2025-03-16,1.71433,0.84654
2025-03-17,2.16908,1.27281
2025-03-18,2.32066,1.31412
2025-03-19,2.36437,1.31332
2025-03-20,2.19635,1.15852
2025-03-21,2.16707,1.14369
2025-03-22,1.56114,0.68292
2025-03-23,1.80576,0.80523
2025-03-24,2.49671,1.33577
2025-03-25,2.56528,1.32976
2025-03-26,3.18124,1.18218
2025-03-27,2.62904,1.23512
2025-03-28,2.54603,1.029
2025-03-29,1.96737,0.6733
2025-03-30,2.31104,0.86177
2025-03-31,3.46275,1.33497
2025-04-01,3.58385,1.25356
2025-04-02,3.62396,1.25798
2025-04-03,3.38014,1.21146
2025-04-04,2.63666,0.99371
2025-04-05,1.82822,0.63761
2025-04-06,1.8988,0.68332
2025-04-07,2.90975,1.16815
2025-04-08,3.00359,1.28284
2025-04-09,3.07136,1.24394
2025-04-10,3.37453,1.24915
2025-04-11,2.59255,1.05947
2025-04-12,1.99905,0.72543
2025-04-13,2.24888,0.77556
2025-04-14,3.61513,1.22228
2025-04-15,3.54816,1.22148
2025-04-16,3.53654,1.28565
2025-04-17,3.49403,1.15451
2025-04-18,3.07377,1.04584
2025-04-19,2.4137,0.65525
2025-04-20,2.45219,0.70418
2025-04-21,3.51207,1.19261
2025-04-22,3.91269,1.34179
2025-04-23,3.82005,1.29407
2025-04-24,3.58987,1.17817
2025-04-25,3.15557,1.11401
2025-04-26,2.29139,0.56222
2025-04-27,2.36598,0.61034
2025-04-28,3.48039,1.12283
2025-04-29,3.18084,1.0683
2025-04-30,3.32159,1.03862
2025-05-01,2.67235,0.73305
2025-05-02,2.56448,0.78719
2025-05-03,2.01429,0.56422
2025-05-04,1.85789,0.5153
2025-05-05,1.91564,0.57144
2025-05-06,2.23685,0.70939
2025-05-07,3.33001,1.07431
2025-05-08,3.42305,1.08273
2025-05-09,3.54175,0.9893
2025-05-10,2.29139,0.62117
2025-05-11,2.47866,0.69615
2025-05-12,3.80722,1.20103
2025-05-13,4.16733,1.25557
2025-05-14,3.90868,1.35021
2025-05-15,3.84732,1.35823
2025-05-16,3.35688,1.13567
2025-05-17,2.29339,0.69696
2025-05-18,2.58573,0.76152
2025-05-19,3.91068,1.22509
2025-05-20,4.55591,1.2672
2025-05-21,4.81376,1.3073
2025-05-22,5.19352,1.2676
2025-05-23,4.66459,1.21908
2025-05-24,3.12229,0.77315
2025-05-25,3.96923,0.78197
2025-05-26,5.72286,1.3478
2025-05-27,6.19566,1.29246
2025-05-28,5.7377,1.48976
2025-05-29,5.54561,1.37668
2025-05-30,4.85467,1.1902
2025-05-31,3.20289,0.8321
2025-06-01,3.67328,0.87421
2025-06-02,5.35233,2.0211
2025-06-03,3.61634,1.45648
2025-06-04,5.11212,1.49457
2025-06-05,4.9866,1.44525
2025-06-06,3.29031,0.98408
2025-06-07,3.4431,1.29086
2025-06-08,3.92311,1.67864
2025-06-09,6.30914,2.03073
2025-06-10,10.14444,2.81471
2025-06-11,7.92603,2.20677
2025-06-12,6.8445,1.98181
2025-06-13,6.2141,1.6233
2025-06-14,4.00291,1.12444
2025-06-15,4.47932,1.56315
2025-06-16,6.89061,2.04717
2025-06-17,6.65482,1.83263
2025-06-18,7.00611,1.85549
2025-06-19,6.62153,1.61528
2025-06-20,6.332,1.5824
2025-06-21,4.2363,0.97566
2025-06-22,4.41115,1.06749
2025-06-23,6.59467,1.49578
2025-06-24,6.7262,1.38871
2025-06-25,6.78394,1.47212
